feature,buffersize,type,importance
roads,2100,primary,0.004667633404719115
landusages,500,park,0.00386117624437501
landusages,2500,golf_course,0.0038015905366295065
roads,2000,primary,0.003648974224366835
waterareas,2200,swimming_pool,0.003242510048993774
landusages,1900,commercial,0.003241517047700842
landusages,1300,pitch,0.003214055714612581
landusages,3000,golf_course,0.0031919726600439526
roads,1200,footway,0.0031419917072502707
landusages,2400,golf_course,0.0031380681776784847
roads,1800,secondary_link,0.003117237136206751
landusages,2100,golf_course,0.0030405045820520228
buildings,2800,college,0.0029653784432806876
landusages,1800,golf_course,0.0029427614961317723
landusages,2000,pedestrian,0.002910376289803018
buildings,1600,school,0.002906012960905353
roads,1000,footway,0.002832974919939545
landusages,1600,parking,0.002751555006198357
landusages,2800,commercial,0.0027229340023603226
roads,1300,residential,0.00268997189743214
buildings,1200,hotel,0.002670386500546819
landusages,2400,scrub,0.0026520277021279013
landusages,2100,residential,0.0025996798792389956
roads,1500,secondary_link,0.0025149836330032537
landusages,2700,residential,0.002513346033836745
roads,900,pedestrian,0.0025105642415850725
landusages,2600,golf_course,0.0024880516080702285
landusages,1100,pitch,0.0024510926615135017
buildings,2400,college,0.002402383569064757
landusages,900,residential,0.0023879572721938296
waterareas,3000,swimming_pool,0.0023854192681208404
buildings,2900,commercial,0.0023211806106657584
roads,1400,primary_link,0.0023193388711659282
roads,1700,primary,0.002294166787908368
buildings,1500,retail,0.002285909561866365
landusages,1500,retail,0.002248399237499388
landusages,2800,parking,0.002247256613211524
landusages,1800,commercial,0.0022323034347082435
roads,1300,footway,0.0022320118176689645
roads,2800,footway,0.002182937303177783
landusages,2400,footway,0.0021779100645218357
buildings,1100,school,0.002166987035295079
buildings,2000,hotel,0.0021533940785757105
buildings,1300,residential,0.002145377920183344
landusages,2900,pitch,0.002144459859890721
landusages,2300,residential,0.002138518885229715
roads,2100,footway,0.00213111295734197
roads,1100,footway,0.0021235846434068967
landusages,200,residential,0.002114119991922255
landusages,1000,residential,0.002097999415805759
buildings,1300,hotel,0.0020977209222120085
buildings,600,apartments,0.0020956198110506715
landusages,2300,golf_course,0.002072717824281435
roads,1400,service,0.0020647578928276347
landusages,2000,retail,0.002057448229792918
roads,1100,tertiary,0.0020555897813702897
buildings,1700,shed,0.002052543365892217
landusages,2300,school,0.0020511594776597706
roads,800,service,0.0020505899800959265
roads,2400,footway,0.002049768257065053
roads,2900,steps,0.0020467541280595955
roads,2300,path,0.0020399773906787924
landusages,2100,park,0.002004116458024272
roads,1800,primary,0.002000548505409247
landusages,1800,library,0.0019878623486538198
buildings,3000,commercial,0.001939704478878937
landusages,1400,place_of_worship,0.0019326888086489639
buildings,2000,residential,0.0019258948003533932
buildings,1700,house,0.0019157568009582375
roads,2600,secondary,0.0018970042713712778
roads,2700,primary,0.0018825435179072674
buildings,2800,hospital,0.0018708146244548968
landusages,2100,school,0.0018624894058449637
buildings,3000,church,0.0018542320581693436
buildings,500,school,0.0018497364255258665
landusages,2300,parking,0.0018385978305817978
buildings,1500,college,0.0018105422266890296
landusages,2700,place_of_worship,0.0017954228562945982
roads,1000,service,0.0017777084506813104
