sensor_id,timestamp,aqi,prediction,error,sqrError
W San Fernando Vly,2016-11-03T16:00:00.000-07:00,52.0,34.3440603245323,17.6559396754677,311.73220582375444
W San Fernando Vly,2016-11-03T17:00:00.000-07:00,56.0,35.91543948166929,20.08456051833071,403.3895712144888
W San Fernando Vly,2016-11-03T18:00:00.000-07:00,55.0,39.08407066022529,15.915929339774713,253.31680674870154
W San Fernando Vly,2016-11-03T19:00:00.000-07:00,52.0,40.01822440154567,11.981775598454327,143.56294649171554
W San Fernando Vly,2016-11-03T20:00:00.000-07:00,60.0,44.00885735782436,15.991142642175639,255.71664300240806
W San Fernando Vly,2016-11-03T21:00:00.000-07:00,53.0,45.73761210388022,7.262387896119783,52.74227795370713
W San Fernando Vly,2016-11-03T22:00:00.000-07:00,57.0,46.87802776090036,10.121972239099641,102.4543220091038
W San Fernando Vly,2016-11-03T23:00:00.000-07:00,63.0,46.47259802696178,16.527401973038216,273.15501597838755
W San Fernando Vly,2016-11-04T00:00:00.000-07:00,63.0,46.00281199162251,16.997188008377492,288.9044001921316
W San Fernando Vly,2016-11-04T01:00:00.000-07:00,67.0,46.40759287613041,20.59240712386959,424.0472311551951
W San Fernando Vly,2016-11-04T02:00:00.000-07:00,62.0,47.300634125026356,14.699365874973644,216.07135712633968
W San Fernando Vly,2016-11-04T03:00:00.000-07:00,62.0,48.594730876671164,13.405269123328836,179.70124026887345
W San Fernando Vly,2016-11-04T04:00:00.000-07:00,42.0,47.459129724008925,5.459129724008925,29.802097343557758
W San Fernando Vly,2016-11-04T05:00:00.000-07:00,55.0,45.54314611391883,9.45685388608117,89.43208542268853
W San Fernando Vly,2016-11-04T06:00:00.000-07:00,56.0,48.594730876671164,7.405269123328836,54.83801078892742
W San Fernando Vly,2016-11-04T07:00:00.000-07:00,61.0,48.41554985088556,12.584450149114438,158.3683855555464
W San Fernando Vly,2016-11-04T08:00:00.000-07:00,59.0,47.654255125020676,11.345744874979324,128.7259267681196
W San Fernando Vly,2016-11-04T09:00:00.000-07:00,59.0,46.46842840690712,12.531571593092877,157.04028659281235
W San Fernando Vly,2016-11-04T10:00:00.000-07:00,63.0,44.76471746108168,18.23528253891832,332.52552927417935
W San Fernando Vly,2016-11-04T11:00:00.000-07:00,54.6,40.449433237555965,14.150566762444036,200.2385396983859
W San Fernando Vly,2016-11-04T12:00:00.000-07:00,46.6,42.55163790133185,4.04836209866815,16.38923568193279
W San Fernando Vly,2016-11-04T13:00:00.000-07:00,51.0,46.20187273304671,4.798127266953287,23.02202526988062
W San Fernando Vly,2016-11-04T14:00:00.000-07:00,41.0,50.47058961280596,9.47058961280596,89.69206761418813
W San Fernando Vly,2016-11-04T15:00:00.000-07:00,19.0,50.538858226414625,31.538858226414625,994.6995782258815
W San Fernando Vly,2016-11-04T16:00:00.000-07:00,16.0,50.30690853956967,34.30690853956967,1176.9639735423982
W San Fernando Vly,2016-11-04T17:00:00.000-07:00,29.0,50.50926524021142,21.50926524021142,462.64849117376724
W San Fernando Vly,2016-11-04T18:00:00.000-07:00,35.0,49.36152760174375,14.361527601743752,206.25347505564764
W San Fernando Vly,2016-11-04T19:00:00.000-07:00,49.0,49.70770143060716,0.707701430607159,0.5008413148834194
W San Fernando Vly,2016-11-04T20:00:00.000-07:00,65.0,49.74717858738075,15.252821412619248,232.64856104525623
W San Fernando Vly,2016-11-04T21:00:00.000-07:00,77.0,50.71768693196538,26.282313068034618,690.7599802061833
W San Fernando Vly,2016-11-04T22:00:00.000-07:00,77.0,53.44745042179092,23.55254957820908,554.7225916339968
W San Fernando Vly,2016-11-04T23:00:00.000-07:00,74.0,54.4433767130865,19.5566232869135,382.46151438624736
W San Fernando Vly,2016-11-05T00:00:00.000-07:00,74.0,53.72167478556064,20.278325214439363,411.21047350256725
W San Fernando Vly,2016-11-05T01:00:00.000-07:00,78.0,50.17994055799249,27.820059442007512,773.9557073568313
W San Fernando Vly,2016-11-05T02:00:00.000-07:00,62.0,48.590199352828314,13.409800647171686,179.82275339688616
W San Fernando Vly,2016-11-05T03:00:00.000-07:00,62.0,48.53932812324628,13.460671876753722,181.18968737362857
W San Fernando Vly,2016-11-05T04:00:00.000-07:00,58.0,50.06815195694831,7.931848043051687,62.914213378062875
W San Fernando Vly,2016-11-05T05:00:00.000-07:00,54.0,50.13893249611482,3.861067503885181,14.907842269558142
W San Fernando Vly,2016-11-05T06:00:00.000-07:00,54.0,49.93382375499129,4.066176245008712,16.533789255473152
W San Fernando Vly,2016-11-05T07:00:00.000-07:00,59.0,50.16334622032072,8.836653779679281,78.08645002192013
W San Fernando Vly,2016-11-05T08:00:00.000-07:00,58.0,50.11206300895465,7.8879369910453505,62.21954997470158
W San Fernando Vly,2016-11-05T09:00:00.000-07:00,67.0,50.051430796216174,16.948569203783826,287.25399805544953
W San Fernando Vly,2016-11-05T10:00:00.000-07:00,71.0,49.30465966920909,21.695340330790913,470.6877920688427
W San Fernando Vly,2016-11-05T11:00:00.000-07:00,73.0,49.15535866741357,23.844641332586427,568.566920279689
W San Fernando Vly,2016-11-05T12:00:00.000-07:00,68.0,49.6906484928561,18.3093515071439,335.2323526121527
W San Fernando Vly,2016-11-05T13:00:00.000-07:00,62.0,49.94252946846216,12.057470531537838,145.38259561890337
W San Fernando Vly,2016-11-05T14:00:00.000-07:00,56.0,50.329006454656366,5.670993545343634,32.160167791329165
W San Fernando Vly,2016-11-05T15:00:00.000-07:00,52.0,50.58807104056538,1.4119289594346185,1.9935433864901246
W San Fernando Vly,2016-11-05T16:00:00.000-07:00,52.0,63.76767816324994,11.76767816324994,138.47824935382948
W San Fernando Vly,2016-11-05T17:00:00.000-07:00,52.0,48.69663716914445,3.303362830855548,10.912205992277979
W San Fernando Vly,2016-11-05T18:00:00.000-07:00,56.0,49.326662239310764,6.673337760689236,44.53343686824083
W San Fernando Vly,2016-11-05T19:00:00.000-07:00,62.0,53.568855963727685,8.431144036272315,71.08418976037022
W San Fernando Vly,2016-11-05T20:00:00.000-07:00,64.0,50.19627739805901,13.80372260194099,190.54275767133655
W San Fernando Vly,2016-11-05T21:00:00.000-07:00,70.0,54.560513987302755,15.439486012697245,238.37772833627386
W San Fernando Vly,2016-11-05T22:00:00.000-07:00,81.0,58.45970308742731,22.540296912572693,508.06498490693406
W San Fernando Vly,2016-11-05T23:00:00.000-07:00,104.0,48.99627274502707,55.00372725497293,3025.410011939452
W San Fernando Vly,2016-11-06T00:00:00.000-07:00,104.0,49.89063347168518,54.10936652831482,2927.8235460955166
